tick,time_sec,spike_count_total,epg_spike_count,driver_spike_count,stim_afferent_spike_count,spike_ids
83,0.083000,13,0,0,2,720575940606222014|720575940612358642|720575940613635737|720575940620912987|720575940621716835|720575940621804159|720575940621947653|720575940624106776|720575940625440019|720575940628644239|720575940632807193|720575940635113976|720575940647081860
84,0.084000,15,0,0,3,720575940609341809|720575940609713710|720575940615526978|720575940621777390|720575940622303446|720575940623122125|720575940623748789|720575940623758377|720575940625048250|720575940625489160|720575940627293370|720575940627798910|720575940634172267|720575940640486488|720575940641263312
85,0.085000,18,0,0,2,720575940607667723|720575940609592270|720575940614461014|720575940619922512|720575940620431798|720575940620988276|720575940622160705|720575940622828056|720575940623153788|720575940623302988|720575940623432918|720575940623673821|720575940625508610|720575940625691372|720575940629502251|720575940631844300|720575940632472850|720575940634748385
86,0.086000,15,0,0,2,720575940608140380|720575940611982997|720575940613863731|720575940613891442|720575940615755147|720575940620746478|720575940623689959|720575940626768442|720575940629225463|720575940632524559|720575940632875746|720575940633315263|720575940633631396|720575940637071849|720575940637586751
87,0.087000,15,0,0,0,720575940605074278|720575940613303471|720575940613473959|720575940615084339|720575940618355870|720575940620571953|720575940627174673|720575940627946512|720575940630548035|720575940631405997|720575940633800860|720575940634388927|720575940635362716|720575940635540671|720575940638677411
88,0.088000,21,0,0,0,720575940604009952|720575940604735660|720575940609343089|720575940619948880|720575940621270042|720575940622048862|720575940622219190|720575940623718119|720575940625436170|720575940625827358|720575940626308697|720575940627357457|720575940628446010|720575940628455942|720575940631189817|720575940631842360|720575940632317997|720575940637535077|720575940640325429|720575940642725320|720575940645834275
89,0.089000,14,0,0,1,720575940604470240|720575940607982428|720575940608545219|720575940610899666|720575940615429118|720575940618089541|720575940620881524|720575940621519130|720575940622416628|720575940623025413|720575940627903484|720575940631299602|720575940632407826|720575940642894628
90,0.090000,16,0,0,4,720575940605807206|720575940609713710|720575940621766938|720575940621814911|720575940622517956|720575940623758377|720575940624394790|720575940626363529|720575940627949589|720575940628644239|720575940629683500|720575940631043139|720575940631844300|720575940633705636|720575940636360811|720575940636411534
91,0.091000,7,0,1,2,720575940606573490|720575940612358642|720575940622132545|720575940622998627|720575940623302988|720575940624452902|720575940629461442
92,0.092000,9,0,0,1,720575940615160239|720575940615792523|720575940619636615|720575940628346634|720575940631142956|720575940631283512|720575940631520312|720575940632875746|720575940636992368
93,0.093000,9,0,0,1,720575940610621026|720575940611735514|720575940623358099|720575940625552412|720575940626768442|720575940627044885|720575940629377132|720575940629393207|720575940632539788
94,0.094000,13,0,0,0,720575940604731838|720575940606421122|720575940616651193|720575940617313841|720575940623862015|720575940624231143|720575940625587642|720575940626555440|720575940627281594|720575940627706398|720575940631714119|720575940639209956|720575940639542691
95,0.095000,19,0,0,5,720575940609713710|720575940612281586|720575940615084339|720575940616661465|720575940618635072|720575940618649936|720575940619754699|720575940620124143|720575940621519130|720575940622303446|720575940623758377|720575940624130253|720575940625673964|720575940628644239|720575940628908548|720575940629630679|720575940631844300|720575940631925156|720575940636360811
96,0.096000,14,0,0,2,720575940606222014|720575940612358642|720575940612868757|720575940618658974|720575940620746478|720575940622057057|720575940622416628|720575940627458570|720575940628038808|720575940632713759|720575940633178508|720575940633640493|720575940638169917|720575940646753412
97,0.097000,16,0,0,1,720575940613771798|720575940614456332|720575940616507865|720575940619896711|720575940622516852|720575940623302988|720575940624376456|720575940624986919|720575940627826760|720575940629513222|720575940630480459|720575940631207388|720575940636997744|720575940637689486|720575940639092201|720575940640852056
98,0.098000,15,0,0,2,720575940608140380|720575940618332757|720575940620868432|720575940621024545|720575940622540899|720575940624163303|720575940626768442|720575940630006636|720575940631532396|720575940631656147|720575940631715896|720575940632875746|720575940632962786|720575940636635760|720575940642262157
99,0.099000,15,0,0,0,720575940612308963|720575940613681314|720575940613693382|720575940613863731|720575940614137907|720575940620899542|720575940622183194|720575940624619036|720575940626039996|720575940628861660|720575940630046524|720575940634748385|720575940637535077|720575940640486488|720575940644791918
100,0.100000,28,0,0,3,720575940604735660|720575940609713710|720575940612724195|720575940614730914|720575940615210975|720575940615526978|720575940616285151|720575940618398533|720575940619245016|720575940619559815|720575940621393172|720575940621777390|720575940622303446|720575940622474760|720575940622584069|720575940623499132|720575940623758377|720575940623888397|720575940624313406|720575940626859080|720575940627406635|720575940630372982|720575940633800860|720575940635170484|720575940636360811|720575940637586751|720575940642876320|720575940646364014
101,0.101000,18,0,0,3,720575940605807206|720575940607982428|720575940612358642|720575940612943539|720575940613517991|720575940614562271|720575940616821597|720575940617755220|720575940618678045|720575940623276988|720575940623322921|720575940624876889|720575940624885250|720575940625345511|720575940628375306|720575940628644239|720575940631844300|720575940634274458
