tick,time_sec,epg_spike_count,epg_spike_ids
868,0.868000,0,
869,0.869000,0,
870,0.870000,0,
871,0.871000,1,720575940628802041
872,0.872000,0,
873,0.873000,0,
874,0.874000,1,720575940610453427
875,0.875000,1,720575940638850512
876,0.876000,0,
877,0.877000,0,
878,0.878000,0,
879,0.879000,1,720575940613836438
880,0.880000,0,
881,0.881000,1,720575940613829900
882,0.882000,0,
883,0.883000,1,720575940631125036
884,0.884000,1,720575940619296365
885,0.885000,0,
886,0.886000,1,720575940625351354
887,0.887000,0,
888,0.888000,0,
889,0.889000,0,
890,0.890000,0,
891,0.891000,1,720575940642634532
892,0.892000,0,
893,0.893000,1,720575940628843458
894,0.894000,1,720575940633719487
895,0.895000,0,
896,0.896000,0,
897,0.897000,0,
898,0.898000,0,
899,0.899000,0,
900,0.900000,0,
901,0.901000,0,
902,0.902000,0,
903,0.903000,0,
904,0.904000,1,720575940627140551
905,0.905000,0,
906,0.906000,0,
907,0.907000,0,
908,0.908000,0,
909,0.909000,0,
910,0.910000,0,
911,0.911000,0,
912,0.912000,0,
913,0.913000,0,
914,0.914000,0,
915,0.915000,0,
916,0.916000,0,
917,0.917000,0,
918,0.918000,1,720575940628802041
919,0.919000,2,720575940610453427|720575940636730694
920,0.920000,0,
921,0.921000,0,
922,0.922000,1,720575940616569601
923,0.923000,2,720575940631708836|720575940632844002
924,0.924000,0,
925,0.925000,1,720575940623046548
926,0.926000,1,720575940604801993
927,0.927000,0,
928,0.928000,0,
929,0.929000,0,
930,0.930000,0,
931,0.931000,0,
932,0.932000,0,
933,0.933000,0,
934,0.934000,0,
935,0.935000,0,
936,0.936000,0,
937,0.937000,0,
938,0.938000,0,
939,0.939000,0,
940,0.940000,1,720575940627140551
941,0.941000,1,720575940642634532
942,0.942000,0,
943,0.943000,1,720575940628843458
944,0.944000,0,
945,0.945000,0,
946,0.946000,1,720575940613836438
947,0.947000,1,720575940613829900
948,0.948000,0,
949,0.949000,2,720575940619296365|720575940638850512
950,0.950000,0,
951,0.951000,1,720575940631125036
952,0.952000,0,
953,0.953000,0,
954,0.954000,0,
955,0.955000,0,
956,0.956000,0,
957,0.957000,0,
958,0.958000,0,
959,0.959000,0,
960,0.960000,0,
961,0.961000,0,
962,0.962000,0,
963,0.963000,0,
964,0.964000,0,
965,0.965000,0,
966,0.966000,0,
967,0.967000,0,
968,0.968000,1,720575940610453427
969,0.969000,0,
970,0.970000,0,
971,0.971000,0,
972,0.972000,0,
973,0.973000,3,720575940620020694|720575940625351354|720575940628802041
974,0.974000,4,720575940628843458|720575940633719487|720575940635461550|720575940636730694
975,0.975000,1,720575940608722371
976,0.976000,1,720575940620282906
977,0.977000,0,
978,0.978000,0,
979,0.979000,1,720575940627140551
980,0.980000,0,
981,0.981000,0,
982,0.982000,0,
983,0.983000,0,
984,0.984000,0,
985,0.985000,0,
986,0.986000,1,720575940642634532
987,0.987000,0,
988,0.988000,1,720575940613829900
989,0.989000,0,
990,0.990000,1,720575940632844002
991,0.991000,0,
992,0.992000,0,
993,0.993000,0,
994,0.994000,0,
995,0.995000,0,
996,0.996000,0,
997,0.997000,0,
998,0.998000,0,
999,0.999000,0,
1000,1.000000,0,
